"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,400701594935706;40,4549471571309;40,4549471571309
"facteur 2";0,320921866296909;32,400363029981;72,8553101871119
"facteur 3";0,268865028047429;27,1446898128881;100
