"";"";"";"";"*aut_41";""
"1";"*aut_41";"-2.45977408301491";"0.121195107336096";"1.30799276906192";"39"
"2";"*dia_19_02";"-2.45977408301491";"0.121195107336096";"1.30799276906192";"40"
"3";"*tit_113";"-2.45977408301491";"0.121195107336096";"1.30799276906192";"42"
"4";"*dia_25_02";"-2.45977408301491";"0.121195107336096";"1.30799276906192";"43"
"5";"*aut_116";"-2.45977408301491";"0.121195107336096";"1.30799276906192";"44"
"6";"*aut_35";"-2.45977408301491";"0.121195107336096";"1.30799276906192";"45"
"7";"*dia_21_02";"-2.45977408301491";"0.121195107336096";"1.30799276906192";"46"
"8";"*tit_69";"0.857256072069175";"-0.385469100821956";"1.16624055781522";"62"
"9";"*dia_20_02";"0.857256072069175";"-0.385469100821956";"1.16624055781522";"69"
"10";"*tit_129";"-2.45977408301491";"0.121195107336096";"1.13769126476855";"70"
"11";"*tit_121";"-2.45977408301491";"0.121195107336096";"1.13769126476855";"71"
"12";"*tit_05";"-2.45977408301491";"0.121195107336096";"1.13769126476855";"72"
"13";"*tit_114";"-2.45977408301491";"0.121195107336096";"1.13769126476855";"73"
"14";"*aut_14";"-2.45977408301491";"0.121195107336096";"1.13769126476855";"75"
"15";"*aut_18";"-2.45977408301491";"0.121195107336096";"1.13769126476855";"76"
"16";"*dia_24_03";"-2.45977408301491";"0.121195107336096";"1.13769126476855";"77"
"17";"*aut_05";"-2.45977408301491";"0.121195107336096";"1.13769126476855";"78"
"18";"*aut_22";"-2.45977408301491";"0.121195107336096";"1.13769126476855";"80"
"19";"*tit_102";"-2.45977408301491";"0.121195107336096";"1.13769126476855";"81"
"20";"*tit_24";"-2.45977408301491";"0.121195107336096";"1.13769126476855";"82"
"21";"*tit_20";"-2.45977408301491";"0.121195107336096";"1.13769126476855";"83"
"22";"*dia_06_02";"0.857256072069175";"-0.385469100821956";"0.982587642843308";"130"
"23";"*dia_23_03";"0.857256072069175";"-0.385469100821956";"0.982587642843308";"132"
"24";"*tit_02";"0.857256072069175";"-0.385469100821956";"0.982587642843308";"134"
"25";"*tit_52";"0.857256072069175";"-0.385469100821956";"0.982587642843308";"135"
"26";"*dia_16_02";"0.857256072069175";"-0.385469100821956";"0.982587642843308";"138"
"27";"*aut_25";"0.857256072069175";"-0.385469100821956";"0.982587642843308";"139"
"28";"*tit_27";"0.857256072069175";"-0.385469100821956";"0.982587642843308";"140"
"29";"*tit_29";"0.857256072069175";"-0.385469100821956";"0.982587642843308";"141"
"30";"*tit_42";"-2.45977408301491";"0.121195107336096";"0.968384014461876";"146"
"31";"*tit_123";"-2.45977408301491";"0.121195107336096";"0.968384014461876";"147"
"32";"*tit_120";"-2.45977408301491";"0.121195107336096";"0.968384014461876";"148"
"33";"*aut_38";"-2.45977408301491";"0.121195107336096";"0.968384014461876";"149"
"34";"*tit_22";"-2.45977408301491";"0.121195107336096";"0.968384014461876";"151"
"35";"*dia_22_01";"-2.45977408301491";"0.121195107336096";"0.968384014461876";"152"
"36";"*dia_07_02";"1.05180759923469";"-0.165095404914143";"0.958015365743431";"167"
"37";"*dia_19_01";"0.753273185212034";"-0.594993929209789";"0.952760023242301";"169"
"38";"*dia_07_01";"1.0033673145601";"-0.396216950676904";"0.914410226612435";"183"
"39";"*aut_49";"0.98669362735713";"-0.00384914116900353";"0.903402414616825";"186"
"40";"*aut_47";"1.0193823447071";"-0.201824354232112";"0.885292788430499";"187"
"41";"*aut_42";"0.9553222241191";"-0.979394740011282";"0.834088708115437";"212"
"42";"*tit_63";"0.9553222241191";"-0.979394740011282";"0.834088708115437";"215"
"43";"*aut_10";"0.9553222241191";"-0.979394740011282";"0.834088708115437";"217"
"44";"*aut_53";"0.9553222241191";"-0.979394740011282";"0.834088708115437";"218"
"45";"*aut_124";"0.9553222241191";"-0.979394740011282";"0.834088708115437";"219"
