"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"classe 1";-1,55706146568033;0,068656987261811;0,0946013205107109;-0,99719405119125;0,0439702226143507;0,0605858382134576;0,995982207531743;0,00155091425918897;0,00246687820907369;0,705167932738916;0,00137104126250005;0,00260300761247694;0,290858018386108;0,987621424072824;0,283701770181464
"classe 2";0,666805321778983;-0,891285461994484;1,05125219950987;0,435518221897848;-0,58213551531897;0,686616428728045;0,243982348640716;0,349117948179779;0,406899703179507;0,132957342647063;0,23754607411827;0,330466961171336;0,29902962206333;0,85453605027424;0,21836095747871
"classe 3";0,542651622056015;-0,218368115072187;-1,48058792791265;0,340872867472587;-0,137170446975199;-0,930048362558443;0,163272295245709;0,0211751734165683;0,815552531337722;0,0833180866893224;0,0134919750045045;0,620248160982373;0,2829417773238;0,850110522942221;0,204478599220772
"classe 4";0,785955783872763;2,42459204619342;0,605871876384444;0,300003800499196;0,92548059756489;0,231264747025944;0,110857843562354;0,84493983990919;0,0442023165284531;0,0785566379246984;0,747590909614725;0,0466818702338142;0,127170582226762;1,4942574736302;0,283947162399096
