declínio;0;0;0;6
debate;0;3;2;0
crescimento;4;1;1;0
continuar;0;3;3;0
contar;2;1;2;0
confiança;2;0;0;4
começar;2;0;3;0
clássico;1;5;0;0
cidadão;1;1;2;0
chance;1;5;0;0
centrão;4;0;0;0
busca;5;1;0;0
aumento;1;0;1;3
ataque;0;5;0;0
argumento;1;2;1;2
apoiar;1;0;0;4
apoiador;0;2;1;3
alinhar;0;1;1;1
agenda;5;0;0;0
acontecer;0;2;1;2
achar;0;2;1;1
áfrica;0;1;1;1
washington;0;5;0;0
visão;1;2;0;1
vida;0;0;2;3
trazer;4;0;1;0
tornar;1;1;1;1
tentativa;0;2;1;1
surto;3;0;0;0
situação;1;1;2;0
senador;1;0;3;1
retorno;2;1;0;0
representação;0;4;0;0
regra;0;0;3;1
regime;1;4;0;0
proteger;4;0;0;0
prometer;0;3;0;0
programa;3;0;0;0
pretender;0;1;1;1
posição;2;1;2;0
popularidade;2;1;0;1
polônia;0;5;0;0
personalista;0;2;3;0
papel;1;1;3;0
onda;0;1;3;1
nível;1;0;4;0
negativo;3;1;1;0
modo;3;1;1;0
mobius;3;0;0;0
mentira;1;1;2;0
koch;0;2;2;0
inflação;2;2;0;0
independente;0;1;1;3
imaginar;2;0;2;0
imagem;0;4;1;0
gostar;1;3;1;0
gente;1;0;2;0
frente;2;3;0;0
fascismo;0;2;2;0
expressão;0;0;0;5
explicar;2;1;0;0
exemplo;2;0;2;0
executivo;1;1;1;0
evitar;1;2;1;0
entrevista;2;0;1;0
enfrentar;3;0;0;1
dólar;3;0;1;0
desigualdade;1;0;1;2
desenvolvimento;1;2;0;2
crescente;1;0;1;1
constituição;1;1;2;1
claro;0;4;0;0
civil;0;2;0;3
ciclo;0;0;4;0
chinês;0;2;0;1
cenário;3;1;0;0
capitólio;0;5;0;0
campanha;2;0;2;0
beneficiar;2;1;0;0
ação;0;5;0;0
arma;0;3;2;0
ameaçar;5;0;0;0
acabar;1;0;1;1
único;0;2;1;0
óleo;4;0;0;0
vista;1;1;1;0
torno;1;1;0;1
tirar;0;1;2;0
tesouro;3;1;0;0
teoria;0;4;0;0
tendência;0;1;2;1
tender;0;0;2;1
temor;4;0;0;0
temer;3;1;0;0
socialista;0;2;1;1
semelhante;0;2;0;1
salvini;0;2;2;0
rosanvallon;0;0;4;0
rico;0;1;0;3
resposta;0;0;2;2
república;2;2;0;0
rejeitar;2;0;1;1
recuperar;1;0;2;1
reconhecer;1;1;2;0
recessão;0;1;1;1
receber;0;2;2;0
reação;3;0;0;1
realidade;0;0;4;0
qualidade;0;0;1;3
prático;4;0;0;0
provocar;1;1;2;0
proteção;3;0;0;1
possibilidade;1;3;0;0
ponto;1;2;0;0
permitir;1;0;1;2
perdido;2;0;1;0
perda;4;0;0;0
particular;1;0;2;0
organização;0;2;2;0
oposição;2;2;0;0
noção;0;0;0;4
norma;0;1;2;0
maneira;0;0;4;0
limitar;0;1;2;1
ligar;0;4;0;0
liderança;0;0;1;3
lembrar;0;1;3;0
judicial;0;0;1;2
irmão;0;2;2;0
investimento;3;0;0;0
intervencionismo;3;0;0;0
indicar;1;1;1;0
incluir;0;3;1;0
ideologia;0;0;2;2
hungria;0;4;0;0
guinar;4;0;0;0
grave;1;0;0;2
governar;4;0;0;0
geral;0;1;2;0
gasto;3;0;0;0
futuro;2;1;0;1
fundamental;0;0;2;1
fronteira;0;4;0;0
figura;1;1;2;0
fenômeno;0;1;3;0
falso;0;2;2;0
exigir;0;4;0;0
estimular;0;2;0;1
estilo;0;1;2;0
espécie;1;0;2;0
escritor;0;4;0;0
escola;1;2;1;0
escalada;3;0;0;0
eleger;0;3;0;0
diretor;0;0;0;4
dilma;3;0;0;1
diesel;4;0;0;0
destruição;0;0;4;0
destacar;1;1;1;0
definir;1;0;1;2
cultural;0;0;3;0
criticar;2;1;0;1
correr;0;1;2;0
concepção;0;4;0;0
compromisso;3;0;0;0
combustível;4;0;0;0
coletivo;0;0;0;4
central;1;2;0;0
casa;0;1;2;0
caminhoneiro;4;0;0;0
bolsa;4;0;0;0
base;4;0;0;0
atenção;1;1;1;0
associar;0;3;0;1
apontar;0;4;0;0
apelo;0;1;1;2
amazônia;2;1;1;0
alto;2;0;2;0
alternativo;0;2;1;1
alcançar;0;2;0;1
ala;2;2;0;0
ajuda;2;0;1;0
agravar;1;3;0;0
afastar;0;0;4;0
adversário;1;0;1;2
ódio;0;1;2;0
ásia;0;1;1;1
versão;0;1;2;0
união;1;2;0;0
universo;0;2;0;1
trumpismo;0;3;0;0
tensão;1;1;1;0
tecnocrata;0;3;0;0
série;0;2;1;0
surpreender;0;0;3;0
subir;3;0;0;0
solução;0;2;1;0
sobreviver;0;2;0;1
senado;0;2;1;0
ruim;2;1;0;0
rua;1;2;0;0
retomada;2;1;0;0
resultar;2;0;1;0
relacionar;0;2;1;0
redução;1;2;0;0
razão;2;0;0;1
queda;1;1;1;0
pressão;1;0;0;2
preciso;1;2;0;0
população;1;0;1;1
poderoso;0;0;0;3
pleito;1;1;0;1
plano;2;0;1;0
pierre;0;0;3;0
pessoal;0;3;0;0
perigoso;0;1;2;0
pequeno;0;0;1;2
pedir;0;1;0;2
partir;2;0;1;0
paris;0;3;0;0
parceria;0;2;1;0
orçamentário;2;0;1;0
ocorrer;0;0;1;2
notícia;1;0;2;0
nação;0;1;0;2
mídia;1;1;1;0
médico;1;2;0;0
máximo;0;3;0;0
mundial;2;1;0;0
menor;3;0;0;0
mau;1;1;1;0
marcar;0;0;3;0
manipular;1;1;0;1
manifestação;1;1;1;0
largo;0;2;0;1
judiciário;0;2;0;1
josé;2;1;0;0
jornalismo;0;1;2;0
joe;0;2;1;0
invasão;0;1;1;1
intervenção;2;1;0;0
interromper;0;3;0;0
indiano;0;3;0;0
impor;2;1;0;0
ilusão;1;2;0;0
ignorância;1;1;1;0
hora;2;1;0;0
histórico;0;1;2;0
general;2;0;1;0
fóssil;3;0;0;0
formar;1;1;1;0
fogo;0;1;0;2
fator;1;0;0;2
fascista;0;0;3;0
fantasia;1;1;0;1
extremismo;1;0;1;1
explorar;1;0;2;0
explicação;0;1;2;0
expansão;0;1;1;1
erosão;0;3;0;0
energia;1;0;0;2
emocional;0;0;2;1
dúvida;0;0;1;2
domínio;0;2;0;1
distinguir;0;0;2;1
dificuldade;1;2;0;0
desinformação;0;0;0;3
desconfiança;1;0;2;0
descer;1;1;0;1
demagogo;0;2;1;0
cruz;1;0;2;0
criar;0;2;1;0
crer;1;0;2;0
convencer;0;1;2;0
contexto;0;1;1;1
constante;0;0;3;0
conspiração;0;2;1;0
conspiratório;0;1;1;1
congressista;1;2;0;0
conflito;0;0;3;0
conduzir;0;0;3;0
condenar;0;1;1;1
comportamento;0;1;2;0
completo;0;2;1;0
combate;1;1;0;1
clima;2;0;1;0
científico;0;3;0;0
chamado;0;3;0;0
centro;0;0;2;1
ceder;0;2;0;1
bruxelas;0;0;0;3
brexit;0;1;1;1
baseado;0;0;1;2
assustar;3;0;0;0
assunto;0;2;1;0
araújo;0;2;1;0
aproveitar;0;2;1;0
apresentar;0;1;2;0
anterior;1;0;1;1
américa;0;1;2;0
amigo;1;2;0;0
ameaça;3;0;0;0
amazona;0;1;2;0
alvo;1;2;0;0
albertazzi;0;1;2;0
acrescentar;0;0;0;3
acordo;1;1;0;1
aberto;1;0;2;0
