"";"X.jor_01";"X.jor_02"
"pre";216,58;212,87
"ver_sup";51,59;53,28
"ono";0,52;0,36
"pro_per";16,06;18,27
"num";11,32;10,77
"conj";36,97;36,04
"adv";60,17;61,71
"ver";95,56;96,79
"pro_int";0,49;0,56
"nr";34,99;40,53
"pro_ind";15,38;13,74
"adj";96,53;92,16
"pro_dem";4,09;3,44
"nom";249,62;247,29
"adj ";0,66;0,63
"adv_sup";0,13;0,1
"nom_sup";6,25;6,11
"pro_pos";8,07;6,67
"adj_sup";0,16;0,13
"art_def";59,96;63,49
"sw";0;0,1
"adj_num";6,71;5,09
"pro_rel";28,16;29,86
