"";"*jor_01";"*jor_02"
"pre";14458;6444
"ver_sup";3444;1613
"ono";35;11
"pro_per";1072;553
"num";756;326
"conj";2468;1091
"adv";4017;1868
"ver";6379;2930
"pro_int";33;17
"nr";2336;1227
"pro_ind";1027;416
"adj";6444;2790
"pro_dem";273;104
"nom";16664;7486
"adj ";44;19
"adv_sup";9;3
"nom_sup";417;185
"pro_pos";539;202
"adj_sup";11;4
"art_def";4003;1922
"sw";0;3
"adj_num";448;154
"pro_rel";1880;904
