*tit_13;11;3;7;24;8
*tit_32;4;0;5;5;6
*tit_33;0;2;0;5;0
*tit_30;7;0;39;6;0
*tit_31;3;8;0;0;0
*tit_36;12;3;0;1;0
*tit_37;1;26;0;1;1
*tit_34;1;3;0;5;0
*tit_35;2;0;2;28;9
*tit_38;10;4;1;0;0
*tit_39;2;2;1;2;1
*dia_15_03;11;3;7;24;8
*tit_22;3;7;0;0;0
*dia_15_01;4;8;5;32;23
*aut_54;0;1;5;7;17
*aut_48;5;4;8;11;2
*aut_49;5;3;3;4;24
*tit_138;0;3;4;7;13
*tit_139;0;0;0;1;7
*aut_40;6;12;0;2;0
*dia_04_01;0;1;4;21;2
*aut_42;5;9;3;4;0
*dia_04_03;4;13;19;5;7
*aut_44;1;9;1;9;2
*aut_45;1;1;8;16;0
*aut_46;1;0;4;1;5
*aut_47;3;2;5;17;20
*dia_06_02;5;4;8;11;2
*dia_19_02;2;14;0;0;0
*dia_19_03;2;0;4;8;0
*tit_46;2;7;2;0;0
*aut_51;4;2;1;5;5
*dia_06_01;3;2;1;10;22
*aut_27;11;13;58;11;7
*tit_131;2;3;26;6;1
*dia_08_02;1;0;4;1;5
*dia_08_03;29;23;2;8;4
*tit_47;1;1;0;2;15
*dia_06_03;4;15;3;54;5
*tit_45;2;14;0;0;0
*tit_44;6;12;0;2;0
*tit_43;0;25;1;4;0
*tit_42;1;4;2;5;0
*tit_41;1;2;7;1;1
*tit_40;28;6;0;4;2
*jor_01;221;301;240;542;311
*jor_02;144;159;87;188;168
*dia_18_01;1;1;2;24;15
*tit_49;1;1;8;16;0
*tit_48;1;9;1;9;2
*dia_07_01;0;0;4;4;18
*tit_129;3;8;1;1;0
*tit_128;2;7;3;10;2
*tit_127;1;6;2;6;17
*tit_126;1;1;5;2;1
*tit_125;2;0;0;1;3
*tit_123;2;6;0;0;0
*dia_11_03;13;21;3;11;4
*tit_121;7;3;1;9;1
*tit_120;11;6;0;0;0
*tit_03;0;1;12;1;1
*dia_07_02;3;6;6;13;24
*aut_122;2;1;0;7;3
*tit_06;7;1;3;2;0
*dia_01_03;1;0;1;6;2
*dia_01_02;4;0;0;2;6
*dia_01_01;1;6;6;14;13
*tit_05;0;17;0;1;1
*tit_04;3;5;1;8;9
*dia_27_03;5;6;1;16;2
*dia_27_02;12;7;5;10;8
*tit_24;4;1;1;3;3
*tit_54;0;1;6;14;1
*tit_55;0;5;3;6;13
*tit_56;1;0;0;0;6
*tit_57;4;2;1;5;5
*tit_50;1;0;4;1;5
*tit_51;2;0;4;7;7
*tit_52;5;4;8;11;2
*tit_53;4;2;2;1;5
*tit_58;3;2;3;4;13
*tit_59;0;2;0;2;22
*tit_112;10;2;1;3;3
*tit_113;5;4;0;0;0
*tit_110;5;6;1;16;2
*tit_111;4;3;0;0;0
*tit_116;1;0;1;6;2
*tit_117;1;6;4;2;3
*tit_114;1;12;0;0;0
*tit_115;8;5;0;0;2
