"";"";"";"";"*dia_29_01";""
"1";"*dia_29_01";"0.759164210836104";"2.18892780400439";"2.04069842613162";"15"
"2";"*dia_24_03";"-2.33298874177057";"-0.157498312199361";"1.56772570730045";"31"
"3";"*tit_36";"-1.97743129753705";"-0.309609971522891";"1.35934153766588";"51"
"4";"*aut_33";"-1.97743129753705";"-0.309609971522891";"1.35934153766588";"52"
"5";"*tit_20";"-1.63536383803724";"0.165597785651859";"1.21020017160925";"71"
"6";"*tit_120";"-2.30591735369562";"-0.349146131219715";"1.20520939854485";"72"
"7";"*tit_38";"-2.02419823012853";"-0.150907623630809";"1.1859832857294";"74"
"8";"*aut_35";"-2.02419823012853";"-0.150907623630809";"1.1859832857294";"75"
"9";"*tit_147";"1.14770729419295";"1.20236778072893";"1.12768433301597";"90"
"10";"*aut_40";"-2.15496531702511";"-0.0448378597432809";"1.06730373661507";"100"
"11";"*tit_44";"-2.15496531702511";"-0.0448378597432809";"1.06730373661507";"101"
"12";"*aut_16";"-1.44236848365189";"-0.0629468685452485";"1.05906766811242";"102"
"13";"*tit_18";"-1.44236848365189";"-0.0629468685452485";"1.05906766811242";"103"
"14";"*tit_103";"-2.28917369065112";"-0.399032195053093";"1.05344335131704";"106"
"15";"*tit_22";"-2.5599738311417";"-0.185675159475699";"1.00561726436052";"122"
"16";"*tit_123";"-2.5965751880619";"-0.162124256766815";"0.998299187794586";"124"
"17";"*dia_22_01";"-2.5965751880619";"-0.162124256766815";"0.998299187794586";"125"
"18";"*aut_23";"-2.061148210345";"-0.356170804692353";"0.992041327268239";"130"
"19";"*tit_25";"-2.061148210345";"-0.356170804692353";"0.992041327268239";"131"
"20";"*dia_11_03";"-1.16728411502527";"0.0416676037326404";"0.985835184597482";"132"
"21";"*tit_113";"-2.37290022910513";"-0.306046439987771";"0.938073744960448";"156"
"22";"*dia_25_02";"-2.37290022910513";"-0.306046439987771";"0.938073744960448";"157"
"23";"*tit_111";"-2.36128075071777";"-0.31352291703821";"0.915072228686954";"162"
"24";"*aut_55";"0.445441512050719";"1.09758665702474";"0.910533986858963";"166"
"25";"*aut_101";"0.251381818679857";"1.29586656115847";"0.904689869177334";"169"
"26";"*aut_124";"1.314886492345";"1.38817478906319";"0.879567920824665";"185"
"27";"*tit_104";"-1.9918477700952";"0.0222498123445792";"0.876451920025389";"195"
"28";"*tit_27";"0.73660880143617";"0.43854531858472";"0.861027069595778";"206"
"29";"*dia_19_03";"0.785180486054134";"1.5823014862662";"0.853010801979383";"213"
"30";"*tit_109";"0.785180486054134";"1.5823014862662";"0.853010801979383";"214"
"31";"*aut_48";"0.192595452944689";"0.986239582414573";"0.848472560151392";"215"
"32";"*dia_06_02";"0.192595452944689";"0.986239582414573";"0.848472560151392";"216"
"33";"*dia_20_02";"0.452566062831814";"1.42307652230222";"0.845796161124628";"220"
"34";"*dia_01_03";"1.01175755043226";"0.353200321742102";"0.845796161124628";"221"
"35";"*aut_111";"1.01175755043226";"0.353200321742102";"0.845796161124628";"223"
"36";"*aut_11";"0.308477437995439";"0.821720705687784";"0.840301138968229";"225"
"37";"*tit_12";"0.308477437995439";"0.821720705687784";"0.840301138968229";"226"
"38";"*dia_28_02";"-0.393351024287679";"0.213175872990944";"0.837482515838593";"230"
"39";"*dia_19_01";"0.406552849102537";"0.224793549569386";"0.836965337282697";"231"
"40";"*aut_116";"-0.333575110477622";"0.670974590820868";"0.833551958813781";"236"
"41";"*tit_34";"-0.448198323303609";"0.685724360382406";"0.827578546493177";"242"
"42";"*aut_29";"0.712521802539772";"-0.0757967631801936";"0.821566345780881";"245"
"43";"*tit_62";"-0.538891299277759";"0.688885273019029";"0.815398991501816";"248"
"44";"*tit_128";"-0.160134787580777";"0.595730225780318";"0.813123405855872";"251"
"45";"*dia_17_01";"0.134231349194983";"0.545702208262643";"0.809270425614443";"252"
"46";"*tit_134";"0.107100243489394";"0.046727890388247";"0.808106773863676";"254"
"47";"*aut_17";"0.532998577183744";"0.0844029962216728";"0.80439601772512";"258"
"48";"*tit_19";"0.532998577183744";"0.0844029962216728";"0.80439601772512";"259"
