"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,287143326746019;32,8890257403629;32,8890257403629
"facteur 2";0,217690395127314;24,933976665614;57,8230024059769
"facteur 3";0,190994714415631;21,8762878799029;79,6992902858798
"facteur 4";0,177238856773547;20,3007097141202;100
