"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"classe 1";-1,09719774153476;-0,240466047806624;2,02887824657265;-0,186867538735555;-0,471594325065959;-0,103356413546765;0,872046515512373;-0,080318859099601;0,300416826808273;0,0109396270307847;0,683264783419201;0,00537876274173587;0,187721100877386;0,00901676629997672;0,641882083876463;0,00544516461215825;0,155934884334014;1,07268483672615;0,179426904874269
"classe 2";-1,48946001923326;-0,0207017256689193;-1,28720430679002;0,147855612641483;-0,754442224923409;-0,0104858510948507;-0,651995534358529;0,0748919178280976;0,665334190262826;9,74396644213695e-05;0,330521511903467;0,0040468581692898;0,452968139410444;8,75030223877512e-05;0,338302279387289;0,00446360325732184;0,20417847492256;0,978494284450604;0,195490898203938
"classe 3";0,659588563445803;1,43132596582727;0,206765353706698;1,88163953129197;0,267783369612471;0,581097537744897;0,0839437282621162;0,763918299997627;0,103534000104116;0,369619095347498;0,00676729203470893;0,520079612513676;0,0615611636322537;0,289892971851912;0,00604945323775458;0,500995060193916;0,141501351084163;1,09845174693645;0,170734998222276
"classe 4";0,680808730379523;0,636407135294708;-0,163146229268329;-1,2362764937446;0,437323317404855;0,408801572612109;-0,104798377315087;-0,794132791412119;0,267664683696514;0,177317443428424;0,0102239223586715;0,544793950516393;0,135387486803127;0,118303712746128;0,00777467735422593;0,446436317784451;0,292097805312067;0,705145832585222;0,145239980200418
"classe 5";0,887168069423547;-1,680682638027;-0,170424317970135;0,454750560791442;0,452283483102317;-0,856821862412565;-0,0868833164689454;0,23183450201395;0,255915033313926;0,69629930385995;0,0062815922772874;0,0415040705488411;0,162362109276789;0,582699046079596;0,0059915061442683;0,0426598541521525;0,206287484347196;0,939739251430256;0,182174511561611
