"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"público";-0,658758577414858;0,742245520373058;-0,401644500581269;0,119834297991284;-0,611491807543154;0,688988455641615;-0,372825994333183;0,111236033953313;0,448401078391665;0,431568554201531;0,110871609765789;0,00915875764101615;0,00175896105542973;0,00223305195871635;0,000653863820477254;5,82057554186006e-05;0,00405325248797206;0,527159846263235;0,00112638874751236
"social";0,13381515696327;0,992450166920522;-0,56020931809482;0,100071318820771;0,116176124393232;0,861628956411042;-0,486364541223798;0,0868802775959656;0,018280206722811;0,762304432776237;0,213105061382377;0,00631029911857793;7,43497833444664e-05;0,00408965346541198;0,00130307600639667;4,1580368917372e-05;0,00415211230475186;0,530351889353552;0,00116787760970643
"econômico";-0,498398223164842;0,263966456102409;0,440821066175286;-0,321559886466288;-0,635119675348028;0,336378185375437;0,561747854271983;-0,409770743965654;0,50252576524933;0,106866943050514;0,261488543003217;0,129118748696942;0,00103138797191023;0,000289312085064108;0,000806851801238166;0,000429331570342407;0,00415211230475186;0,376744293118431;0,000589335301590345
"brasileiro";-0,320587963822989;0,520015472694101;-0,267562377458429;0,85768581695124;-0,295074218781127;0,478630443668288;-0,246268632678172;0,789427554854421;0,126968219595752;0,253264124574656;0,0588265416086613;0,560941114220933;0,000342069495069042;0,000900020604889216;0,000238270355531268;0,00244836621039119;0,00332828049825348;0,482113244068486;0,000773602820494634
"dar";-0,348882368610764;-0,0539790998129128;0,340742712276658;-0,797648445183552;-0,372549391650274;-0,0576408629567806;0,363857568020468;-0,851758270809764;0,204956674409762;0,00371959655492294;0,130040848479812;0,661282880555505;0,000473302281718841;1,13300500744831e-05;0,000451474999157025;0,00247402224241222;0,00388848612667238;0,412949888472515;0,000663094247214017
"vez";-0,0478391784141169;0,0698707222746183;-0,0517715713593186;0,0554107006062821;-0,420855679940158;0,614673815596238;-0,455450126617703;0,487464644098819;0,236725889753419;0,38283297467639;0,184409651546806;0,196031484023386;8,97455519571565e-06;1,91441449255271e-05;1,05106167705974e-05;1,20401747597642e-05;0,00392143939893231;0,0526878161049403;1,08859391663828e-05
"partido";1,2829772739884;-1,40929522347705;-0,0678479501995007;0,332635214779082;0,662757008342586;-0,72801000073801;-0,0350487147419295;0,171831819850591;0,510696433072877;0,467164031214123;0,000949994260313542;0,0211895414526885;0,00547845183031179;0,00661034125480914;1,53212212144489e-05;0,000368261543439785;0,00332828049825348;0,96202623381535;0,00308030521088261
"economia";-1,43691695833328;-0,0673354197772066;-0,00134334646471172;-0,0482224507857394;-0,998342588679207;-0,0467833697001894;-0,000933331588367472;-0,0335040421582418;0,997644992028617;0,00166088808685258;5,79977814030813e-07;0,000693539906717762;0,00823279416603958;1,80788607903937e-05;7,19548364313811e-09;9,27219323580537e-06;0,00398734594345219;0,770891080456381;0,00236957226682897
"mercado";-1,75541327857733;-0,201978525046047;2,63092388078503;-0,171661213366663;-0,553081589517485;-0,0636377798004356;0,828930474459774;-0,0540856434812207;0,39839971012913;0,00399862970746942;0,59525005273329;0,00235160743011205;0,0103575604500683;0,000137122622656601;0,0232656550313538;9,90473987280211e-05;0,00336123377051341;1,49028467717983;0,00746512682863554
"democracia";1,06750466461061;1,11329692775779;-0,0886307477094352;0,637061079808609;0,638789481836934;0,666191344346454;-0,053036198605073;0,381214181595975;0,488049040402332;0,402426398110101;0,00223776948687977;0,107286792000688;0,00405566303856403;0,00441107379326217;2,79570361652153e-05;0,00144438991946044;0,00355895340407302;0,818818061260133;0,00238614663824381
