polícia;0;2;4;2;12
pior;7;10;1;16;2
gerar;4;23;2;6;1
década;5;2;3;13;10
chamar;2;3;5;11;10
regime;8;2;8;11;5
produzir;0;6;2;8;4
mudar;2;1;1;22;5
mudança;6;13;3;10;4
enfrentar;3;11;5;10;3
educação;1;25;0;3;0
debate;6;3;6;13;4
baixo;2;16;1;9;4
ataque;0;0;28;3;1
aprovar;5;17;0;1;6
uso;0;8;8;5;1
trazer;6;12;0;12;3
tomar;8;2;2;9;11
professor;0;2;8;12;6
permitir;4;6;3;12;4
morte;0;13;2;9;3
liberalismo;4;0;19;10;0
inflação;4;25;0;3;0
expressão;0;1;25;3;3
ex_presidente;13;0;4;4;6
contrário;4;7;9;6;7
ambiente;7;8;3;15;2
viver;0;1;4;21;3
termo;0;2;8;15;0
recurso;4;17;2;3;1
receber;5;2;1;11;11
pesquisa;5;7;1;4;5
papel;2;0;8;15;6
milhão;3;11;1;6;8
futuro;3;7;3;14;4
entrar;8;0;2;12;7
energia;9;15;0;2;0
combustível;8;25;0;0;0
cargo;3;1;5;2;18
campo;2;5;11;13;1
tema;0;5;1;18;2
século;1;0;5;19;3
responsabilidade;5;8;6;7;2
reduzir;5;17;2;6;2
necessário;4;12;5;5;2
impedir;8;6;3;5;9
general;11;0;4;1;8
europeu;2;3;0;4;20
apresentar;3;5;6;9;4
tribunal;1;5;4;3;0
supremo;3;0;1;2;2
redução;4;17;3;3;3
pt;11;1;1;12;5
proposta;1;17;2;4;3
programa;5;13;3;2;1
polarização;1;5;8;12;1
modo;5;4;9;9;0
incluir;1;6;2;4;10
europa;0;4;0;2;25
democrata;0;1;6;7;17
recente;5;5;1;11;2
lira;3;1;0;9;2
instituto;3;1;1;5;2
evitar;1;5;5;5;13
estatal;22;2;0;0;0
escrever;2;1;1;15;4
cair;10;11;3;6;1
volta;7;7;1;8;6
subir;8;18;0;2;0
representar;2;5;5;12;3
lugar;4;1;1;16;8
forte;2;5;3;6;12
crítica;3;3;12;6;5
civil;0;4;6;13;3
apoiar;1;3;2;6;13
ameaça;6;8;10;1;4
sinal;8;4;2;7;7
sentido;0;2;3;18;3
senado;0;4;0;0;13
romance;0;0;0;12;0
real;4;15;1;2;2
publicar;4;2;4;9;0
protesto;0;4;3;8;10
posse;3;1;2;1;16
pequeno;7;2;0;12;3
oposição;1;2;6;6;11
ocorrer;3;3;3;11;6
ministério;4;11;2;2;1
maneira;0;6;4;12;3
juro;3;23;0;1;0
inteligência;1;0;1;1;1
imposto;1;15;2;2;6
explicar;3;5;2;10;4
estratégia;0;3;12;7;7
dólar;9;14;0;1;1
crime;4;6;3;3;1
crescimento;4;15;1;4;3
único;1;7;2;13;3
tradicionalismo;0;0;0;15;2
regra;5;5;3;6;4
presidencial;0;0;2;2;21
limite;1;12;1;9;2
lembrar;2;4;3;10;5
início;8;5;4;6;2
intervenção;18;4;4;1;0
impacto;2;18;1;5;0
garantir;5;4;1;5;6
final;1;7;0;8;10
banco;12;10;0;3;1
ajudar;1;2;6;9;7
vender;16;2;0;4;1
responder;4;5;1;6;3
possibilidade;4;7;2;7;5
mandato;3;3;9;6;5
interesse;3;2;11;4;4
defesa;4;1;12;1;2
central;3;9;1;8;5
capaz;3;5;1;13;2
vista;2;2;12;4;3
união;5;10;1;0;9
temer;15;1;1;5;2
stf;0;0;5;4;0
pensar;2;1;2;16;3
